,shap_score
MYC,0.008810066064921074
MIA,0.008257474453801095
CCNB1,0.00787315871033556
GRB7,0.007835054965330102
TMEM45B,0.00716987506368838
ESR1,0.006661022586488485
KRT5,0.0065715887870134715
MDM2,0.006408812962735766
CEP55,0.006372128526408893
BCL2,0.006317665387467919
BAG1,0.006197093036746537
SLC39A6,0.006173543007321314
PTTG1,0.006148157381003827
CDC6,0.00592549995700864
KIF2C,0.005886123412793154
CENPF,0.005884303688731052
KRT17,0.005875390932709834
ANLN,0.005803760754471199
ERBB2,0.005791932051461224
MKI67,0.005704973142506731
MELK,0.005567467699126638
PGR,0.005537709584574557
FGFR4,0.005492812022838578
KRT14,0.005392080451571246
CXXC5,0.005310182802642949
RRM2,0.005188352899303084
MAPT,0.0051596398820983325
NAT1,0.0050833612924918725
NUF2,0.004956332435032351
ACTR3B,0.004782122829784186
CDC20,0.004746856459274085
SFRP1,0.004711155914591814
UBE2T,0.004617760987835506
BIRC5,0.004581943361881002
UBE2C,0.004573504828868383
EXO1,0.004536867784636911
MYBL2,0.004519756298371647
NDC80,0.004369446549030265
CCNE1,0.0039213335920678105
TYMS,0.003415208452192786
FOXC1,0.003226196791910607
GPR160,0.0027075004592660434
PHGDH,0.0024499372616348936
CDH3,0.0024380737110227813
CXCL10,0.002338790512304456
MMP11,0.002315506622073471
MLPH,0.0019656337416655845
EGFR,0.0010310645486675263
BLVRA,0.00040889355520963566
